State,August 2019,August 2020,Change,Percent,,,
Alabama,"2,076,400","1,994,000","-82400",-4.0,,,
Alaska,"329,700","296,500","-33200",-10.1,,,
Arizona,"2,959,800","2,864,200","-95600",-3.2,,,
Arkansas,"1,273,600","1,228,400","-45200",-3.5,,,
California,"17,472,600","15,874,400","-1598200",-9.1,,,
Colorado,"2,797,400","2,649,600","-147800",-5.3,,,
Connecticut,"1,685,300","1,566,600","-118700",-7.0,,,
Delaware,"467,600","426,800","-40800",-8.7,,,
District of Columbia,"799,000","745,500","-53500",-6.7,,,
Florida,"8,981,200","8,525,100","-456100",-5.1,,,
Georgia,"4,627,000","4,433,000","-194000",-4.2,,,
Hawaii,"652,800","547,600","-105200",-16.1,,,
Illinois,"6,123,900","5,695,200","-428700",-7.0,,,
Indiana,"3,162,300","3,056,100","-106200",-3.4,,,
Iowa,"1,585,100","1,493,000","-92100",-5.8,,,
Kansas,"1,426,500","1,365,100","-61400",-4.3,,,
Kentucky,"1,942,700","1,822,300","-120400",-6.2,,,
Louisiana,"1,986,200","1,855,800","-130400",-6.6,,,
Maine,"637,300","582,000","-55300",-8.7,,,
Maryland,"2,767,800","2,592,000","-175800",-6.4,,,
Massachusetts,"3,697,400","3,294,200","-403200",-10.9,,,
Michigan,"4,442,400","3,994,200","-448200",-10.1,,,
Minnesota,"2,984,300","2,765,800","-218500",-7.3,,,
Mississippi,"1,158,300","1,128,000","-30300",-2.6,,,
Missouri,"2,907,100","2,769,500","-137600",-4.7,,,
Montana,"485,700","461,400","-24300",-5.0,,,
Nebraska,"1,027,400","990,600","-36800",-3.6,,,
Nevada,"1,423,400","1,289,800","-133600",-9.4,,,
New Hampshire,"686,200","631,000","-55200",-8.0,,,
New Jersey,"4,198,300","3,820,000","-378300",-9.0,,,
New Mexico,"860,100","791,400","-68700",-8.0,,,
New York,"9,803,400","8,588,900","-1214500",-12.4,,,
North Carolina,"4,583,200","4,263,100","-320100",-7.0,,,
North Dakota,"439,900","408,700","-31200",-7.1,,,
Ohio,"5,595,900","5,147,200","-448700",-8.0,,,
Oklahoma,"1,700,800","1,621,600","-79200",-4.7,,,
Oregon,"1,946,200","1,801,800","-144400",-7.4,,,
Pennsylvania,"6,077,500","5,577,900","-499600",-8.2,,,
Rhode Island,"503,400","466,200","-37200",-7.4,,,
South Carolina,"2,196,900","2,092,200","-104700",-4.8,,,
South Dakota,"440,500","420,600","-19900",-4.5,,,
Tennessee,"3,128,700","2,986,100","-142600",-4.6,,,
Texas,"12,836,000","12,219,400","-616600",-4.8,,,
Utah,"1,566,900","1,538,700","-28200",-1.8,,,
Vermont,"315,900","282,000","-33900",-10.7,,,
Virginia,"4,062,800","3,850,200","-212600",-5.2,,,
Washington,"3,485,000","3,274,200","-210800",-6.0,,,
West Virginia,"720,000","674,400","-45600",-6.3,,,
Wisconsin,"2,977,500","2,755,200","-222300",-7.5,,,
Wyoming,"291,200","269,800","-21400",-7.3,,,
